Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 185040, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.99,1.00
 2014-05-03 185050, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.42,1.00
 2014-05-03 185100, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.12,1.00
 2014-05-03 185110, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.37,1.00
averages: ,                  0.5,                  0.5,                 0.01,50,100.00,50.15,1.00
standard deviations: ,                  0.5,                  0.5,                 0.01, 0,0.00,0.46,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,0.5
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 185120, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.61,1.00
 2014-05-03 185130, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.74,1.00
 2014-05-03 185140, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.95,1.00
 2014-05-03 185150, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.64,1.00
 2014-05-03 185200, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.42,1.00
 2014-05-03 185210, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.71,1.00
 2014-05-03 185220, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.94,1.00
 2014-05-03 185230, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.15,1.00
 2014-05-03 185240, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.51,1.00
 2014-05-03 185250, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.72,1.00
 2014-05-03 185300, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.92,1.00
 2014-05-03 185310, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.31,1.00
 2014-05-03 185320, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.97,1.00
 2014-05-03 185330, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.25,1.00
 2014-05-03 185340, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.81,1.00
 2014-05-03 185350, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.57,1.00
 2014-05-03 185400, 11,                  0.5,                  0.5,                  0.1,50,100.00,48.91,1.00
 2014-05-03 185410, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.69,1.00
 2014-05-03 185420, 11,                  0.5,                  0.5,                  0.1,50,100.00,50.51,1.00
 2014-05-03 185430, 11,                  0.5,                  0.5,                  0.1,50,100.00,49.70,1.00
averages: ,                  0.5,                  0.5,                  0.1,50,100.00,50.00,1.00
standard deviations: ,                  0.5,                  0.5,                  0.1, 0,0.00,0.43,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
